id,person_id,activity_level,daily_steps
0,1,42,4200
1,2,60,10000
2,3,60,10000
3,4,30,3000
4,5,30,3000
5,6,30,3000
6,7,40,3500
7,8,75,8000
8,9,75,8000
9,10,75,8000
10,11,30,8000
11,12,75,8000
12,13,30,8000
13,14,30,8000
14,15,30,8000
15,16,30,8000
16,17,40,4000
17,18,30,8000
18,19,40,4000
19,20,75,8000
20,21,75,8000
21,22,75,8000
22,23,75,8000
23,24,75,8000
24,25,75,8000
25,26,75,8000
26,27,75,8000
27,28,75,8000
28,29,75,8000
29,30,75,8000
30,31,35,4100
31,32,35,4100
32,33,75,6800
33,34,30,5000
34,35,75,8000
35,36,30,5000
36,37,30,5000
37,38,75,8000
38,39,75,8000
39,40,75,8000
40,41,75,8000
41,42,75,8000
42,43,75,8000
43,44,75,8000
44,45,75,8000
45,46,75,8000
46,47,75,8000
47,48,75,8000
48,49,75,8000
49,50,75,8000
50,51,45,8000
51,52,45,8000
52,53,30,5000
53,54,75,8000
54,55,30,5000
55,56,30,5000
56,57,75,8000
57,58,30,5000
58,59,30,5000
59,60,75,8000
60,61,30,5000
61,62,30,5000
62,63,30,5000
63,64,30,5000
64,65,30,5000
65,66,30,5000
66,67,50,7000
67,68,30,5000
68,69,50,5500
69,70,50,5500
70,71,30,5000
71,72,30,5000
72,73,30,5000
73,74,30,5000
74,75,30,5000
75,76,30,5000
76,77,30,5000
77,78,30,5000
78,79,30,5000
79,80,30,5000
80,81,32,5200
81,82,32,5200
82,83,40,5600
83,84,40,5600
84,85,60,8000
85,86,60,7000
86,87,60,5000
87,88,60,5000
88,89,60,5000
89,90,60,5000
90,91,60,5000
91,92,60,5000
92,93,60,8000
93,94,60,3300
94,95,60,7000
95,96,60,7000
96,97,60,7000
97,98,60,7000
98,99,60,7000
99,100,60,7000
100,101,60,7000
101,102,60,7000
102,103,60,7000
103,104,35,4800
104,105,60,7000
105,106,35,4800
106,107,42,4200
107,108,70,7000
108,109,70,7000
109,110,60,8000
110,111,60,7000
111,112,60,8000
112,113,60,7000
113,114,60,8000
114,115,60,7000
115,116,60,7000
116,117,60,7000
117,118,60,7000
118,119,60,7000
119,120,60,7000
120,121,60,7000
121,122,60,7000
122,123,60,7000
123,124,60,7000
124,125,60,7000
125,126,60,8000
126,127,60,8000
127,128,60,7000
128,129,60,8000
129,130,60,8000
130,131,60,7000
131,132,60,8000
132,133,60,8000
133,134,60,7000
134,135,60,8000
135,136,60,8000
136,137,60,7000
137,138,60,8000
138,139,60,7000
139,140,60,8000
140,141,60,7000
141,142,60,8000
142,143,60,7000
143,144,60,7000
144,145,60,8000
145,146,60,3300
146,147,60,8000
147,148,40,4000
148,149,50,5500
149,150,80,7500
150,151,80,7500
151,152,60,8000
152,153,60,8000
153,154,60,8000
154,155,60,8000
155,156,60,8000
156,157,60,8000
157,158,60,8000
158,159,60,8000
159,160,60,8000
160,161,60,8000
161,162,55,7300
162,163,55,7300
163,164,90,8000
164,165,90,8000
165,166,90,8000
166,167,70,6200
167,168,55,6000
168,169,55,6000
169,170,90,8000
170,171,90,8000
171,172,90,8000
172,173,90,8000
173,174,90,8000
174,175,90,8000
175,176,90,8000
176,177,90,8000
177,178,45,6000
178,179,90,8000
179,180,90,8000
180,181,90,8000
181,182,90,8000
182,183,90,8000
183,184,90,8000
184,185,45,5000
185,186,45,5000
186,187,45,6000
187,188,45,6000
188,189,45,6000
189,190,45,6000
190,191,45,6000
191,192,45,6000
192,193,45,6000
193,194,45,6000
194,195,45,6000
195,196,45,6000
196,197,45,6000
197,198,45,6000
198,199,45,6000
199,200,45,6000
200,201,45,6000
201,202,90,8000
202,203,90,8000
203,204,47,6800
204,205,75,6800
205,206,90,8000
206,207,90,8000
207,208,90,8000
208,209,90,8000
209,210,90,8000
210,211,90,8000
211,212,90,8000
212,213,90,8000
213,214,90,8000
214,215,90,8000
215,216,90,8000
216,217,90,8000
217,218,90,8000
218,219,90,8000
219,220,45,6000
220,221,45,6000
221,222,45,6000
222,223,45,6000
223,224,45,6000
224,225,45,6000
225,226,45,6000
226,227,45,6000
227,228,45,6000
228,229,45,6000
229,230,45,6000
230,231,45,6000
231,232,45,6000
232,233,45,6000
233,234,45,6000
234,235,45,6000
235,236,45,6000
236,237,45,6000
237,238,45,6000
238,239,45,6000
239,240,45,6000
240,241,45,6000
241,242,45,6000
242,243,45,6000
243,244,45,6000
244,245,45,6000
245,246,45,6000
246,247,45,6000
247,248,45,5000
248,249,45,6000
249,250,45,6000
250,251,30,6000
251,252,30,6000
252,253,45,6000
253,254,45,6000
254,255,45,6000
255,256,45,6000
256,257,45,6000
257,258,45,6000
258,259,45,6000
259,260,45,6000
260,261,45,6000
261,262,45,6000
262,263,45,6000
263,264,55,5500
264,265,65,3500
265,266,90,10000
266,267,65,3500
267,268,90,10000
268,269,90,10000
269,270,90,10000
270,271,90,10000
271,272,90,10000
272,273,90,10000
273,274,90,10000
274,275,90,10000
275,276,90,10000
276,277,85,3700
277,278,85,3700
278,279,90,10000
279,280,30,5000
280,281,90,10000
281,282,90,10000
282,283,90,10000
283,284,90,10000
284,285,90,10000
285,286,90,10000
286,287,90,10000
287,288,90,10000
288,289,90,10000
289,290,90,10000
290,291,90,10000
291,292,90,10000
292,293,90,10000
293,294,90,10000
294,295,90,10000
295,296,90,10000
296,297,90,10000
297,298,90,10000
298,299,30,5000
299,300,30,5000
300,301,30,5000
301,302,30,5000
302,303,55,6000
303,304,90,10000
304,305,90,10000
305,306,90,10000
306,307,45,6000
307,308,45,6000
308,309,45,6000
309,310,45,6000
310,311,45,6000
311,312,45,6000
312,313,30,5000
313,314,30,5000
314,315,30,5000
315,316,30,5000
316,317,30,5000
317,318,30,5000
318,319,30,5000
319,320,30,5000
320,321,30,5000
321,322,30,5000
322,323,30,5000
323,324,30,5000
324,325,30,5000
325,326,30,5000
326,327,30,5000
327,328,30,5000
328,329,30,5000
329,330,30,5000
330,331,30,5000
331,332,30,5000
332,333,30,5000
333,334,30,5000
334,335,30,5000
335,336,30,5000
336,337,30,5000
337,338,30,5000
338,339,30,5000
339,340,75,5000
340,341,75,5000
341,342,90,10000
342,343,90,10000
343,344,75,7000
344,345,75,7000
345,346,75,7000
346,347,75,7000
347,348,75,7000
348,349,75,7000
349,350,75,7000
350,351,75,7000
351,352,75,7000
352,353,75,7000
353,354,75,7000
354,355,75,7000
355,356,75,7000
356,357,75,7000
357,358,75,7000
358,359,75,7000
359,360,75,7000
360,361,75,7000
361,362,75,7000
362,363,75,7000
363,364,75,7000
364,365,75,7000
365,366,75,7000
366,367,75,7000
367,368,75,7000
368,369,75,7000
369,370,75,7000
370,371,75,7000
371,372,75,7000
372,373,75,7000
373,374,75,7000
